iso3,country,region,income_group,layer1_score,layer2_score,nis_readiness_score
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,83.33333333333334,70.0,76.66666666666667
VUT,Vanuatu,East Asia and Pacific,Lower middle income,83.33333333333334,70.0,76.66666666666667
AU_WESTERN_AFRICA,Western Africa (African Union),,,83.33333333333334,70.0,76.66666666666667
AU_SOUTHERN_AFRICA,Southern Africa (African Union),,,83.33333333333334,70.0,76.66666666666667
BFA,Burkina Faso,Sub-Saharan Africa,Low income,83.33333333333334,70.0,76.66666666666667
BGD,Bangladesh,South Asia,Lower middle income,83.33333333333334,70.0,76.66666666666667
UZB,Uzbekistan,Europe and Central Asia,Lower middle income,83.33333333333334,70.0,76.66666666666667
VNM,Viet Nam,East Asia and Pacific,Lower middle income,83.33333333333334,70.0,76.66666666666667
AU_EASTERN_AFRICA,Eastern Africa (African Union),,,83.33333333333334,70.0,76.66666666666667
AU_NORTHERN_AFRICA,Northern Africa (African Union),,,83.33333333333334,70.0,76.66666666666667
AU_CENTRAL_AFRICA,Central Africa (African Union),,,83.33333333333334,70.0,76.66666666666667
AU_AFRICA,African Union,,,83.33333333333334,70.0,76.66666666666667
CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,83.33333333333334,70.0,76.66666666666667
BLR,Belarus,Europe and Central Asia,,83.33333333333334,70.0,76.66666666666667
AZE,Azerbaijan,Europe and Central Asia,Upper middle income,83.33333333333334,70.0,76.66666666666667
BEN,Benin,Sub-Saharan Africa,Lower middle income,83.33333333333334,70.0,76.66666666666667
GAB,Gabon,Sub-Saharan Africa,Upper middle income,83.33333333333334,70.0,76.66666666666667
UNICEF_ESA,África Oriental y Meridional,,,83.33333333333334,70.0,76.66666666666667
MKD,North Macedonia,Europe and Central Asia,Upper middle income,83.33333333333334,70.0,76.66666666666667
UNICEF_EAP,Asia Oriental y Pacífico,,,83.33333333333334,70.0,76.66666666666667
JOR,Jordan,Middle East and North Africa,Upper middle income,83.33333333333334,70.0,76.66666666666667
KEN,Kenya,Sub-Saharan Africa,Lower middle income,83.33333333333334,70.0,76.66666666666667
KGZ,Kyrgyzstan,Europe and Central Asia,Lower middle income,83.33333333333334,70.0,76.66666666666667
UNICEF_ESARO,Eastern and Southern Africa (UNICEF Prog.regions),,,83.33333333333334,70.0,76.66666666666667
UNICEF_SSA,África Subsahariana,,,83.33333333333334,70.0,76.66666666666667
UNICEF_SA,Asia Meridional,,,83.33333333333334,70.0,76.66666666666667
UNICEF_ROSA,South Asia (UNICEF Prog.regions),,,83.33333333333334,70.0,76.66666666666667
UNICEF_MENA,Oriente Medio y África del Norte,,,83.33333333333334,70.0,76.66666666666667
IND,India,South Asia,Lower middle income,83.33333333333334,70.0,76.66666666666667
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,83.33333333333334,70.0,76.66666666666667
GMB,Gambia,Sub-Saharan Africa,Low income,83.33333333333334,70.0,76.66666666666667
KHM,Cambodia,East Asia and Pacific,Lower middle income,83.33333333333334,70.0,76.66666666666667
UNICEF_WCA,África Occidental y Central,,,83.33333333333334,70.0,76.66666666666667
FJI,Fiji,East Asia and Pacific,Upper middle income,83.33333333333334,70.0,76.66666666666667
GHA,Ghana,Sub-Saharan Africa,Lower middle income,83.33333333333334,70.0,76.66666666666667
UNICEF_WCARO,West and Central Africa (UNICEF Prog.regions),,,83.33333333333334,70.0,76.66666666666667
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Low income,83.33333333333334,70.0,76.66666666666667
UNSDG_LDC,Países menos adelantados,,,83.33333333333334,70.0,76.66666666666667
DZA,Algeria,Middle East and North Africa,Lower middle income,83.33333333333334,70.0,76.66666666666667
WHO_AFRO,Africa (WHO regions),,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_SADC,(SDGRC) ECA_SADC,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_SA,(SDGRC) Southern Africa,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_O_LDC,(SDGRC) ECA_Oil LDCs,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_OP,(SDGRC) ECA_Oil producing economies,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_NOP,(SDGRC) ECA_Non-Oil Producing,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_NO_LDC,(SDGRC) ECA_Non-Oil LDCs,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_NA,(SDGRC) North Africa,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_MRC,(SDGRC) ECA_Mineral-rich countries,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_IGAD,(SDGRC) ECA_IGAD,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_LL_LDC,(SDGRC) ECA_Land-locked LDCs,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_LLC,(SDGRC) ECA_Land-locked countries,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_LDC,(SDGRC) ECA_Least developed countries,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_ECOWAS,(SDGRC) ECA_ECOWAS,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_IE,(SDGRC) ECA_Island economies,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_ECCAS,(SDGRC) ECA_ECCAS,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ESCAP_ALL,ESCAP_All countries,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_WA,(SDGRC) West Africa,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_SAHEL,(SDGRC) ECA_Sahel,,,83.33333333333334,70.0,76.66666666666667
SDGRC_ECA_SSA,(SDGRC) ECA_Sub-Saharan Africa,,,83.33333333333334,70.0,76.66666666666667
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),,,83.33333333333334,70.0,76.66666666666667
AUREC_EAC,East African Community (EAC),,,83.33333333333334,70.0,76.66666666666667
AUREC_ECCAS,Economic Community of Central African States (ECCAS),,,83.33333333333334,70.0,76.66666666666667
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),,,83.33333333333334,70.0,76.66666666666667
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),,,83.33333333333334,70.0,76.66666666666667
AUREC_AMU,Arab Maghreb Union (AMU),,,83.33333333333334,70.0,76.66666666666667
AUREC_SADC,Southern African Development Community (SADC),,,83.33333333333334,70.0,76.66666666666667
WHO_EMRO,Eastern Mediterranean (WHO regions),,,83.33333333333334,70.0,76.66666666666667
