iso3,country,indicator,indicator_label,framework_layer,year,value,region,income_group,data_status,years_since_estimate,indicator_short,progress
AFG,Afghanistan,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,45.4,South Asia,Low income,Recent (≤5 years),1,Anaemia (WRA),On track
AFG,Afghanistan,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,42.0422,South Asia,Low income,Recent (≤5 years),0,Stunting,Off track
AFG,Afghanistan,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.382,South Asia,Low income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AFG,Afghanistan,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2022,63.2718,South Asia,Low income,Recent (≤5 years),2,Excl. Breastfeeding,On track
AGO,Angola,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,43.8,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),1,Anaemia (WRA),On track
AGO,Angola,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,47.6773,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),0,Stunting,Off track
AGO,Angola,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.7389,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AGO,Angola,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2023,32.7,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),1,Excl. Breastfeeding,Off track
AGO,Angola,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,15.5278,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),4,Low Birth Weight,On track
ALB,Albania,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,24.7,Europe and Central Asia,Upper middle income,Recent (≤5 years),1,Anaemia (WRA),On track
