iso3,country,region,income_group,Anaemia (WRA),Excl. Breastfeeding,Low Birth Weight,Overweight,Stunting
AFG,Afghanistan,South Asia,Low income,45.4,63.2718,,4.382,42.0422
AGO,Angola,Sub-Saharan Africa,Lower middle income,43.8,32.7,15.5278,4.7389,47.6773
ALB,Albania,Europe and Central Asia,Upper middle income,24.7,36.5385,5.9924,16.6834,7.3896
ARE,United Arab Emirates,Middle East and North Africa,High income,28.2,,13.9407,,
ARG,Argentina,Latin America and Caribbean,Upper middle income,23.5,31.9519,7.3616,14.2751,10.6918
ARM,Armenia,Europe and Central Asia,Upper middle income,18.7,44.4904,8.2723,12.867,6.1748
ATG,Antigua and Barbuda,Latin America and Caribbean,High income,20.3,,15.3555,,
AUS,Australia,East Asia and Pacific,High income,11.1,,6.5537,26.4308,3.1005
AUT,Austria,Europe and Central Asia,High income,16.7,,6.3054,,
AZE,Azerbaijan,Europe and Central Asia,Upper middle income,35.6,18.4198,11.0353,4.1889,6.8197
BDI,Burundi,Sub-Saharan Africa,Low income,39.0,83.3,14.7769,2.3776,55.2516
BEL,Belgium,Europe and Central Asia,High income,15.0,,6.7562,4.9067,2.6124
BEN,Benin,Sub-Saharan Africa,Lower middle income,50.0,44.9468,16.4458,3.7316,33.2171
BFA,Burkina Faso,Sub-Saharan Africa,Low income,44.3,51.2577,18.4687,2.8138,19.5408
BGD,Bangladesh,South Asia,Lower middle income,37.6,53.2855,23.0467,1.6215,25.0916
BGR,Bulgaria,Europe and Central Asia,Upper middle income,25.8,,11.3616,5.47,5.5262
BHR,Bahrain,Middle East and North Africa,High income,38.4,,12.4415,,4.624
BHS,Bahamas,Latin America and Caribbean,High income,18.8,,15.3972,,
BIH,Bosnia and Herzegovina,Europe and Central Asia,Upper middle income,26.0,18.1893,5.1547,13.0277,7.9154
BLZ,Belize,Latin America and Caribbean,Lower middle income,21.3,33.1646,11.559,5.6497,11.6866
BOL,Bolivia (Plurinational State of),Latin America and Caribbean,Lower middle income,24.9,55.6582,7.9334,9.8887,10.7258
BRA,Brazil,Latin America and Caribbean,Upper middle income,21.3,45.8,8.6981,10.8814,8.8894
BRB,Barbados,Latin America and Caribbean,High income,20.1,19.6969,,13.0229,5.7679
BRN,Brunei Darussalam,East Asia and Pacific,High income,18.3,,13.6415,9.4567,9.9426
BTN,Bhutan,South Asia,Lower middle income,33.8,69.4,11.431,7.9868,17.8741
BWA,Botswana,Sub-Saharan Africa,Upper middle income,30.9,29.9944,16.8344,11.4868,20.9845
CAF,Central African Republic,Sub-Saharan Africa,Low income,43.4,36.1522,16.3547,2.2882,38.9465
CAN,Canada,North America,High income,14.0,,6.6254,11.3564,
CHE,Switzerland,Europe and Central Asia,High income,16.6,,6.4161,,
CHL,Chile,Latin America and Caribbean,High income,15.7,,6.8367,8.7377,1.708
CHN,China,East Asia and Pacific,Upper middle income,15.6,35.1,4.9735,11.1292,4.5244
CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,51.4,33.9636,18.2898,3.5278,20.2698
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,38.9,39.4132,12.5126,13.5938,27.2051
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Low income,40.0,52.2599,10.157,4.1562,44.0648
COG,Congo,Sub-Saharan Africa,Lower middle income,46.7,32.8551,11.9265,5.3014,16.2649
COL,Colombia,Latin America and Caribbean,Upper middle income,22.4,36.673,10.9528,6.7589,11.577
COM,Comoros,Sub-Saharan Africa,Lower middle income,29.9,22.5729,23.0272,3.9372,17.4404
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,40.6,41.8,,8.3788,5.3011
CRI,Costa Rica,Latin America and Caribbean,Upper middle income,13.7,25.2885,8.7166,7.8727,10.6451
CUB,Cuba,Latin America and Caribbean,Upper middle income,22.2,40.5533,7.062,10.5514,7.321
CYP,Cyprus,Europe and Central Asia,High income,16.4,,,,
CZE,Czechia,Europe and Central Asia,High income,24.6,,7.6095,6.5779,2.3959
DEU,Germany,Europe and Central Asia,High income,14.0,,6.7141,3.3059,2.2237
DJI,Djibouti,Middle East and North Africa,Lower middle income,31.8,12.4,,5.4632,20.9271
DMA,Dominica,Latin America and Caribbean,Upper middle income,22.0,,,,
DNK,Denmark,Europe and Central Asia,High income,17.0,,4.8076,,
DOM,Dominican Republic,Latin America and Caribbean,Upper middle income,22.4,15.8444,13.4354,7.5052,5.6302
DZA,Algeria,Middle East and North Africa,Lower middle income,31.6,28.6316,7.1972,13.3175,8.938
ECU,Ecuador,Latin America and Caribbean,Upper middle income,20.2,39.6,10.6269,4.6901,17.7069
EGY,Egypt,Middle East and North Africa,Lower middle income,32.7,40.2,,11.2227,12.9438
ERI,Eritrea,Sub-Saharan Africa,Low income,35.6,68.7,15.1601,2.7503,47.9524
ESP,Spain,Europe and Central Asia,High income,15.6,,9.639,,
EST,Estonia,Europe and Central Asia,High income,24.7,,4.1737,5.5732,1.2996
ETH,Ethiopia,Sub-Saharan Africa,Low income,23.1,58.8143,,3.3389,35.5319
FIN,Finland,Europe and Central Asia,High income,13.6,,4.0692,4.7451,1.6977
FJI,Fiji,East Asia and Pacific,Upper middle income,29.9,42.8527,7.4019,7.3231,7.2143
FRA,France,Europe and Central Asia,High income,13.1,,7.429,,
GAB,Gabon,Sub-Saharan Africa,Upper middle income,59.9,19.3594,14.6498,6.0688,13.7443
GBR,United Kingdom,Europe and Central Asia,High income,13.6,,6.8271,7.7935,3.5059
GEO,Georgia,Europe and Central Asia,Upper middle income,30.2,20.3753,7.4206,4.1177,4.7281
GHA,Ghana,Sub-Saharan Africa,Lower middle income,36.0,52.5853,14.4159,1.7962,15.5749
GIN,Guinea,Sub-Saharan Africa,Low income,45.7,43.7,,4.4056,26.631
GMB,Gambia,Sub-Saharan Africa,Low income,46.1,53.6345,13.2491,2.7328,13.9945
