iso3,country,indicator,indicator_label,framework_layer,year,value,region,income_group,data_status,years_since_estimate,indicator_short,l2_dimension
AFG,Afghanistan,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,59.0,South Asia,Low income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AFG,Afghanistan,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2023,33.4,South Asia,Low income,Recent (≤5 years),1,ANC 4+ Visits,Services & Programme Coverage
AFG,Afghanistan,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,67.5,South Asia,Low income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
AFG,Afghanistan,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2022,47.7087,South Asia,Low income,Recent (≤5 years),2,Early Initiation of BF,Diets & Care (IYCF)
AFG,Afghanistan,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2022,63.2718,South Asia,Low income,Recent (≤5 years),2,Exclusive BF <6m,Diets & Care (IYCF)
AFG,Afghanistan,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2022,6.7867,South Asia,Low income,Recent (≤5 years),2,Minimum Acceptable Diet,Diets & Care (IYCF)
AFG,Afghanistan,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2022,14.7925,South Asia,Low income,Recent (≤5 years),2,Minimum Dietary Diversity,Diets & Care (IYCF)
AFG,Afghanistan,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2022,33.5821,South Asia,Low income,Recent (≤5 years),2,Minimum Meal Frequency,Diets & Care (IYCF)
AGO,Angola,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,64.0,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AGO,Angola,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2024,51.2,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),0,ANC 4+ Visits,Services & Programme Coverage
AGO,Angola,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2016,49.6,Sub-Saharan Africa,Lower middle income,Dated (6-10 years),8,Skilled Birth Attendance,Services & Programme Coverage
