iso3,country,year,indicator,indicator_short,layer,value,years_since,region,income_group,nis_readiness_score,layer1_score,layer2_score
AFG,Afghanistan,2024,IM_DTP3,DTP3 Coverage,Layer 2,59.0,0,South Asia,Low income,68.33333333333333,66.66666666666666,70.0
AFG,Afghanistan,2023,MNCH_ANC4,ANC 4+ Visits,Layer 2,33.4,1,South Asia,Low income,68.33333333333333,66.66666666666666,70.0
AFG,Afghanistan,2023,MNCH_SAB,Skilled Birth Attendance,Layer 2,67.5,1,South Asia,Low income,68.33333333333333,66.66666666666666,70.0
AFG,Afghanistan,2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,45.4,1,South Asia,Low income,68.33333333333333,66.66666666666666,70.0
AFG,Afghanistan,2024,NT_ANT_HAZ_NE2_MOD,Stunting,Layer 1,42.0422,0,South Asia,Low income,68.33333333333333,66.66666666666666,70.0
AFG,Afghanistan,2024,NT_ANT_WHZ_PO2_MOD,Overweight,Layer 1,4.382,0,South Asia,Low income,68.33333333333333,66.66666666666666,70.0
AFG,Afghanistan,2022,NT_BF_EIBF,Early BF Initiation,Layer 2,47.7087,2,South Asia,Low income,68.33333333333333,66.66666666666666,70.0
AFG,Afghanistan,2022,NT_BF_EXBF,Excl. BF,Layer 1,63.2718,2,South Asia,Low income,68.33333333333333,66.66666666666666,70.0
AFG,Afghanistan,2022,NT_CF_MAD,Min Acceptable Diet,Layer 2,6.7867,2,South Asia,Low income,68.33333333333333,66.66666666666666,70.0
AFG,Afghanistan,2022,NT_CF_MDD,Min Dietary Diversity,Layer 2,14.7925,2,South Asia,Low income,68.33333333333333,66.66666666666666,70.0
AFG,Afghanistan,2022,NT_CF_MMF,Min Meal Frequency,Layer 2,33.5821,2,South Asia,Low income,68.33333333333333,66.66666666666666,70.0
AGO,Angola,2024,IM_DTP3,DTP3 Coverage,Layer 2,64.0,0,Sub-Saharan Africa,Lower middle income,61.66666666666667,83.33333333333334,40.0
AGO,Angola,2024,MNCH_ANC4,ANC 4+ Visits,Layer 2,51.2,0,Sub-Saharan Africa,Lower middle income,61.66666666666667,83.33333333333334,40.0
AGO,Angola,2016,MNCH_SAB,Skilled Birth Attendance,Layer 2,49.6,8,Sub-Saharan Africa,Lower middle income,61.66666666666667,83.33333333333334,40.0
AGO,Angola,2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,43.8,1,Sub-Saharan Africa,Lower middle income,61.66666666666667,83.33333333333334,40.0
AGO,Angola,2024,NT_ANT_HAZ_NE2_MOD,Stunting,Layer 1,47.6773,0,Sub-Saharan Africa,Lower middle income,61.66666666666667,83.33333333333334,40.0
AGO,Angola,2024,NT_ANT_WHZ_PO2_MOD,Overweight,Layer 1,4.7389,0,Sub-Saharan Africa,Lower middle income,61.66666666666667,83.33333333333334,40.0
AGO,Angola,2023,NT_BF_EIBF,Early BF Initiation,Layer 2,53.4,1,Sub-Saharan Africa,Lower middle income,61.66666666666667,83.33333333333334,40.0
AGO,Angola,2023,NT_BF_EXBF,Excl. BF,Layer 1,32.7,1,Sub-Saharan Africa,Lower middle income,61.66666666666667,83.33333333333334,40.0
AGO,Angola,2020,NT_BW_LBW,Low Birth Weight,Layer 1,15.5278,4,Sub-Saharan Africa,Lower middle income,61.66666666666667,83.33333333333334,40.0
AGO,Angola,2015,NT_CF_MAD,Min Acceptable Diet,Layer 2,12.1911,9,Sub-Saharan Africa,Lower middle income,61.66666666666667,83.33333333333334,40.0
AGO,Angola,2023,NT_CF_MDD,Min Dietary Diversity,Layer 2,19.9,1,Sub-Saharan Africa,Lower middle income,61.66666666666667,83.33333333333334,40.0
AGO,Angola,2015,NT_CF_MMF,Min Meal Frequency,Layer 2,31.0009,9,Sub-Saharan Africa,Lower middle income,61.66666666666667,83.33333333333334,40.0
AIA,Anguilla,2024,MNCH_SAB,Skilled Birth Attendance,Layer 2,100.0,0,,,5.0,0.0,10.0
ALB,Albania,2024,IM_DTP3,DTP3 Coverage,Layer 2,97.0,0,Europe and Central Asia,Upper middle income,43.33333333333333,66.66666666666666,20.0
ALB,Albania,2018,MNCH_ANC4,ANC 4+ Visits,Layer 2,77.8,6,Europe and Central Asia,Upper middle income,43.33333333333333,66.66666666666666,20.0
ALB,Albania,2022,MNCH_SAB,Skilled Birth Attendance,Layer 2,100.0,2,Europe and Central Asia,Upper middle income,43.33333333333333,66.66666666666666,20.0
ALB,Albania,2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,24.7,1,Europe and Central Asia,Upper middle income,43.33333333333333,66.66666666666666,20.0
ALB,Albania,2024,NT_ANT_HAZ_NE2_MOD,Stunting,Layer 1,7.3896,0,Europe and Central Asia,Upper middle income,43.33333333333333,66.66666666666666,20.0
ALB,Albania,2024,NT_ANT_WHZ_PO2_MOD,Overweight,Layer 1,16.6834,0,Europe and Central Asia,Upper middle income,43.33333333333333,66.66666666666666,20.0
ALB,Albania,2017,NT_BF_EIBF,Early BF Initiation,Layer 2,56.5221,7,Europe and Central Asia,Upper middle income,43.33333333333333,66.66666666666666,20.0
ALB,Albania,2017,NT_BF_EXBF,Excl. BF,Layer 1,36.5385,7,Europe and Central Asia,Upper middle income,43.33333333333333,66.66666666666666,20.0
ALB,Albania,2020,NT_BW_LBW,Low Birth Weight,Layer 1,5.9924,4,Europe and Central Asia,Upper middle income,43.33333333333333,66.66666666666666,20.0
ALB,Albania,2017,NT_CF_MAD,Min Acceptable Diet,Layer 2,26.5559,7,Europe and Central Asia,Upper middle income,43.33333333333333,66.66666666666666,20.0
ALB,Albania,2017,NT_CF_MDD,Min Dietary Diversity,Layer 2,52.4985,7,Europe and Central Asia,Upper middle income,43.33333333333333,66.66666666666666,20.0
ALB,Albania,2017,NT_CF_MMF,Min Meal Frequency,Layer 2,45.4756,7,Europe and Central Asia,Upper middle income,43.33333333333333,66.66666666666666,20.0
AND,Andorra,2024,IM_DTP3,DTP3 Coverage,Layer 2,98.0,0,,,21.666666666666664,33.33333333333333,10.0
AND,Andorra,2017,MNCH_SAB,Skilled Birth Attendance,Layer 2,100.0,7,,,21.666666666666664,33.33333333333333,10.0
AND,Andorra,2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,16.4,1,,,21.666666666666664,33.33333333333333,10.0
AND,Andorra,2020,NT_BW_LBW,Low Birth Weight,Layer 1,9.3949,4,,,21.666666666666664,33.33333333333333,10.0
